aso,brand,capacity,color,condition,features,first_owner,fuel_type,horse_power,mileage,model,no_accidents,number_of_doors,origin_country,price,price_currency,transmission,type,url,version,year
Tak,Rolls-Royce,6 749 cm3,Czarny,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Bluetooth,Czujnik zmierzchu,Dach panoramiczny,Elektryczne szyby tylne,Gniazdo AUX,HUD (wyświetlacz przezierny),Klimatyzacja automatyczna,Klimatyzacja manualna,MP3,Ogranicznik prędkości,Podgrzewane przednie siedzenia,Poduszki boczne przednie,Regulowane zawieszenie,Światła przeciwmgielne,Tempomat,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik deszczu,Czujniki parkowania przednie,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Gniazdo SD,Isofix,Klimatyzacja czterostrefowa,Komputer pokładowy,Nawigacja GPS,Podgrzewana przednia szyba,Podgrzewane tylne siedzenia,Poduszki boczne tylne,Światła do jazdy dziennej,Światła Xenonowe,Tempomat aktywny,Zmieniarka CD,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Asystent pasa ruchu,Czujnik martwego pola,Czujniki parkowania tylne,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Gniazdo USB,Kamera cofania,Klimatyzacja dwustrefowa,Kurtyny powietrzne,Odtwarzacz DVD,Podgrzewane lusterka boczne,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła LED,Tapicerka skórzana,Tuner TV",Tak,Benzyna,599 KM,49 000 km,Cullinan,Tak,5,,1616999,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-cullinan-rolls-royce-cullinan-black-badge-czarna-wersja-bogate-wyposazenie-ID6En06g.html,Black Badge,2020
Tak,Rolls-Royce,6 592 cm3,Szary,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Bluetooth,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Gniazdo SD,Isofix,Klimatyzacja czterostrefowa,Nawigacja GPS,Poduszki boczne przednie,Światła do jazdy dziennej,Tempomat,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik deszczu,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Gniazdo USB,Kamera cofania,Komputer pokładowy,Podgrzewane lusterka boczne,Regulowane zawieszenie,Światła LED,Tempomat aktywny,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Asystent pasa ruchu,Czujnik martwego pola,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo AUX,HUD (wyświetlacz przezierny),Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane przednie siedzenia,System Start-Stop,Tapicerka skórzana,Wielofunkcyjna kierownica",,Benzyna,632 KM,1 800 km,Wraith,Tak,2,Włochy,1950000,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-wraith-rolls-royce-wraith-luminary-1-z-55-wersja-limitowana-ID6E2Asi.html,,2019
,Rolls-Royce,6 750 cm3,Biały,Używane,"Elektryczne szyby przednie,Klimatyzacja manualna,Tempomat,Wspomaganie kierownicy,Radio niefabryczne,Elektryczne szyby tylne,Światła przeciwmgielne",,Benzyna,200 KM,650 000 km,Silver Shadow,,4,,59900,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-silver-shadow-lwb-long-wheelbase-ID6DKhjN.html,,1975
,Rolls-Royce,6 750 cm3,Niebieski,Używane,,,Benzyna,335 KM,48 000 km,Silver Spur,,5,,298800,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-silver-spur-limuzyna-by-robert-jankel-limitowana-edycja-ID6DMuGj.html,,1991
,Rolls-Royce,5 379 cm3,Biały,Używane,"ABS,Immobilizer,Alufelgi,Gniazdo SD,Podgrzewane przednie siedzenia,Tapicerka skórzana,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Elektryczne szyby tylne,Klimatyzacja czterostrefowa,Radio niefabryczne,Wielofunkcyjna kierownica,Elektrycznie ustawiane lusterka,Wspomaganie kierownicy,Elektrycznie ustawiane fotele,Komputer pokładowy,Światła Xenonowe",Tak,Benzyna,326 KM,86 400 km,Silver Seraph,,4,,197000,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-silver-seraph-rolls-royce-silver-seraph-mega-stan-bezwypadkowy-fvat-ID6EfxOI.html,,1999
,Rolls-Royce,4 000 cm3,Czarny,Używane,,Tak,Benzyna,130 KM,50 000 km,Wraith,,4,Wielka Brytania,25000,PLN,Manualna,,https://www.otomoto.pl/oferta/rolls-royce-wraith-rolls-royce-austin-princess-1952-siedlce-ID6Embvq.html,,1952
,Rolls-Royce,6 000 cm3,Niebieski,Używane,,,Benzyna,1 KM,77 000 km,Silver Shadow,,5,,37777,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-silver-shadow-rolls-royce-piekny-kolor-bardzo-dobry-stan-ID6DKyFF.html,,1971
Tak,Rolls-Royce,5 379 cm3,Zielony,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Alarm,Czujnik deszczu,Elektryczne szyby tylne,Klimatyzacja dwustrefowa,Podgrzewane tylne siedzenia,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Czujnik zmierzchu,Elektrycznie ustawiane fotele,Odtwarzacz DVD,Tapicerka skórzana,Centralny zamek,Immobilizer,Wspomaganie kierownicy,ASR (kontrola trakcji),Elektrochromatyczne lusterko wsteczne,Klimatyzacja automatyczna,Podgrzewane przednie siedzenia,Tempomat",,Benzyna,326 KM,58 650 km,Silver Seraph,,4,Kanada,189900,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-silver-seraph-5-4-v12-58-tys-km-klasyk-1999-rok-mozliwa-zamiana-ID6Ek7ZX.html,,1999
Tak,Rolls-Royce,6 592 cm3,Biały,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Bluetooth,Czujnik zmierzchu,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Komputer pokładowy,Odtwarzacz DVD,Podgrzewane tylne siedzenia,Światła do jazdy dziennej,Tapicerka skórzana,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik deszczu,Czujniki parkowania przednie,Elektryczne szyby tylne,Klimatyzacja automatyczna,Kurtyny powietrzne,Ogranicznik prędkości,Regulowane zawieszenie,Światła przeciwmgielne,Tuner TV,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Asystent pasa ruchu,Czujnik martwego pola,Czujniki parkowania tylne,Elektrycznie ustawiane fotele,Klimatyzacja czterostrefowa,Nawigacja GPS,Podgrzewane przednie siedzenia,System Start-Stop,Światła Xenonowe",,Benzyna,571 KM,96 000 km,Ghost,Tak,4,,570000,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-ghost-rolls-royce-ghost-ID6EboJa.html,Series II,2011
,Rolls-Royce,6 700 cm3,Bordowy,Używane,,,Benzyna,180 KM,64 000 km,Silver Shadow,,5,,59123,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-silver-shadow-rolls-royce-ID6EaH9e.html,,1976
